teamName,cityPopulation,teamSpending,taxRate,avgTemp,managementRank,luxuryTaxSpace,milesTraveled,fanAttendance,netRTG,averageTicketPrice,regWins,madePlayoff,seed,crime index
Portland Trail Blazers,2400000,48301816,0.099,48.4,NA,22253134,52225,"794,085",0.6,53.43,44,yes,5,409.9
Sacramento Kings,2660000,71733666,0.133,59.4,NA,12068704,48329,"707,526",-3,47.89,33,no,0,356.5
San Antonio Spurs,2195000,85192733,0,64.8,NA,-2854996,50015,"756,445",11.8,54.88,67,yes,2,475.4
Toronto Raptors,5500000,71217611,0.21,38,NA,12425113,36994,"812,863",4.3,48.11,56,yes,2,NA
Utah Jazz,2400000,63160091,0.05,48.6,NA,19922127,45270,"791,489",1.6,43.19,40,no,0,716.2
Washington Wizards,5700000,76328636,0.0895,50,NA,-498838,40834,"725,426",-0.7,51.21,41,no,0,568.9
Atlanta Hawks,5800000,57245276,0.06,63.5,7.23,18500043,45252,"713,909",5.6,NA,60,yes,1,612.9
Boston Celtics,4700000,52905065,0.051,47.9,7.28,16425766,49322,"721,350",-0.4,NA,40,yes,7,307.6
Brooklyn Nets,2600000,88024730,0.0882,45.4,3.59,-11600175,46158,"698,529",-3.1,NA,38,yes,8,229.3
Charlotte Hornets,2400000,64710971,0.05449,59,4.6,11148948,49296,"704,886",-3.4,NA,33,no,0,285.4
Chicago Bulls,9500000,67099204,0.0495,51.8,6.99,9396463,38810,"875,091",3.3,NA,50,yes,3,426.4
Cleveland Cavaliers,2000000,80811761,0.4997,50.7,6.19,-4548634,37364,"843,042",3.7,NA,53,yes,2,757.9
Dallas Mavericks,6800000,72183738,0,64.8,7.87,1814379,46858,"827,702",3.5,NA,50,yes,7,412.3
Denver Nuggets,3000000,53359369,0.0463,45.1,4.14,20686646,58643,"602,707",-3.9,NA,30,no,0,402.7
Detroit Pistons,5200000,49558917,0.0425,44.4,5.45,12957005,40190,"625,917",-1.8,NA,32,no,0,759
Golden State Warriors,8700000,71881167,0.133,59.4,8.32,4243907,54954,"803,436",11.4,NA,67,yes,1,527.6
Houston Rockets,7000000,71004520,0,64.8,7.46,2778751,51286,"747,412",3.7,NA,56,yes,2,514.4
Indiana Pacers,1750000,74798942,0.0323,51.7,6.92,2030058,41889,"691,434",-0.1,NA,38,no,0,632.7
LA Clippers,4500000,77554797,0.133,59.4,5.98,-3800773,47296,"785,892",6.9,NA,56,yes,3,318.7
Los Angeles Lakers,4500000,59483328,0.133,59.4,3.94,6454958,54819,"768,244",-7.2,NA,21,no ,0,318.7
Memphis Grizzlies,1330000,73989079,0.03,57.6,6.8,2068674,50656,"710,502",3.1,NA,55,yes,5,769.5
Miami Heat,5560000,75084575,0,70.7,7.96,862596,56468,"808,223",-2.4,NA,38,no,0,501.4
Milwaukee Bucks,1570000,44560189,0.0765,43.1,6.34,21714519,52371,"611,226",1.2,NA,41,yes,6,715.8
Minnesota Timberwolves,3420000,64182806,0.0985,41.2,4.41,8909210,53363,"595,652",-9.8,NA,16,no,0,548.1
New Orleans Pelicans,1167000,68280315,0.06,66.4,4.97,6415405,48655,"683,757",0.7,NA,45,yes,8,568
New York Knicks,9000000,54410045,0.133,45.4,2.37,-3800628,49164,"812,292",-10.1,NA,17,no,0,229.3
